x,y,z,leftButton,rightButton,lightSensor,soundSensor,tempSensor
null
0.17,4.27,8.09,0.0,0.0,62.0,343.0,76.17
0.47,3.84,7.87,0.0,0.0,81.0,344.0,76.17
0.69,1.14,9.94,0.0,0.0,64.0,343.0,76.17
0.73,0.51,10.24,0.0,0.0,64.0,341.0,76.17
0.67,0.12,10.44,0.0,0.0,62.0,341.0,76.17
0.84,0.31,11.01,0.0,0.0,64.0,343.0,76.17
0.91,0.34,9.74,0.0,0.0,74.0,336.0,76.17
0.3,3.06,9.97,0.0,0.0,67.0,337.0,76.17
0.57,3.18,9.46,0.0,0.0,64.0,348.0,76.17
0.29,5.35,8.64,0.0,0.0,82.0,338.0,76.17
0.35,5.19,8.6,0.0,0.0,69.0,339.0,76.17
0.47,4.98,7.5,0.0,0.0,60.0,342.0,76.17
0.73,6.34,8.47,0.0,0.0,76.0,338.0,76.17
0.36,4.46,7.67,0.0,0.0,80.0,335.0,76.17
0.42,3.82,7.98,0.0,0.0,71.0,342.0,76.17
1.19,-1.09,10.12,0.0,0.0,60.0,343.0,76.17
1.25,-3.46,10.47,0.0,0.0,76.0,341.0,76.17
1.19,-2.23,10.01,0.0,0.0,63.0,342.0,76.17
1.41,-4.23,10.77,0.0,0.0,45.0,341.0,76.17
1.49,-3.37,11.27,0.0,0.0,57.0,339.0,76.17
0.46,3.34,8.64,0.0,0.0,65.0,343.0,76.17
0.41,4.45,8.55,0.0,0.0,62.0,347.0,76.17
0.71,5.52,7.93,0.0,0.0,78.0,343.0,76.17
0.39,5.74,6.15,0.0,0.0,59.0,338.0,76.17
0.43,6.02,6.26,0.0,0.0,55.0,338.0,76.17
0.62,6.21,7.02,0.0,0.0,57.0,342.0,76.17
0.9,1.85,10.01,0.0,0.0,80.0,340.0,76.17
0.88,-1.92,10.3,0.0,0.0,64.0,339.0,76.17
1.16,-2.57,9.98,0.0,0.0,57.0,343.0,76.17
1.3,-2.1,10.07,0.0,0.0,54.0,344.0,76.17
1.25,-2.45,10.34,0.0,0.0,75.0,344.0,76.17
1.47,-1.52,12.12,0.0,0.0,67.0,344.0,76.17
1.49,-1.36,11.32,0.0,0.0,65.0,339.0,76.17
0.57,5.74,7.71,0.0,0.0,82.0,343.0,76.17
0.66,5.58,7.67,0.0,0.0,73.0,337.0,76.17
0.87,3.96,6.6,0.0,0.0,63.0,340.0,76.17
1.3,3.1,9.19,0.0,0.0,65.0,341.0,76.17
1.43,1.52,10.15,0.0,0.0,90.0,343.0,76.17
1.37,-0.81,10.94,0.0,0.0,75.0,343.0,76.17
1.15,-0.8,9.56,0.0,0.0,57.0,336.0,76.17
1.26,-0.96,11.48,0.0,0.0,73.0,343.0,76.17
1.38,-0.16,12.05,0.0,0.0,83.0,341.0,76.17
1.02,4.11,7.24,0.0,0.0,64.0,345.0,76.17
0.9,3.75,8.45,0.0,0.0,64.0,345.0,76.17
1.12,2.04,9.03,0.0,0.0,89.0,340.0,76.17
1.97,1.93,10.87,0.0,0.0,66.0,341.0,76.17
1.64,-2.0,11.05,0.0,0.0,56.0,347.0,76.17
1.6,-4.67,9.98,0.0,0.0,53.0,343.0,76.17
1.41,-1.55,10.26,0.0,0.0,54.0,340.0,76.17
1.46,-2.04,11.63,0.0,0.0,68.0,336.0,76.17
1.66,-1.48,10.89,0.0,0.0,65.0,344.0,76.17
1.13,0.0,8.1,0.0,0.0,65.0,343.0,76.17
0.94,6.24,10.11,0.0,0.0,82.0,341.0,76.17
1.13,3.16,8.07,0.0,0.0,69.0,337.0,76.17
