x,y,z,leftButton,rightButton,lightSensor,soundSensor,tempSensor
null
1.8,0.82,9.94,0.0,0.0,359.0,336.0,82.71
1.64,1.14,10.03,0.0,0.0,351.0,332.0,82.71
1.52,1.12,10.08,0.0,0.0,341.0,348.0,82.71
1.66,0.9,10.26,0.0,0.0,337.0,332.0,82.71
1.97,0.51,10.0,0.0,0.0,332.0,345.0,82.71
1.68,0.52,10.14,0.0,0.0,276.0,333.0,82.71
1.74,0.52,9.96,0.0,0.0,263.0,328.0,82.71
1.85,0.47,10.04,0.0,0.0,240.0,316.0,82.71
1.76,0.58,10.17,0.0,0.0,106.0,350.0,82.71
1.77,0.57,10.05,0.0,0.0,98.0,335.0,82.71
1.84,0.51,9.95,0.0,0.0,104.0,331.0,82.71
1.75,0.69,9.68,0.0,0.0,95.0,350.0,82.71
1.81,0.53,9.92,0.0,0.0,103.0,346.0,82.71
1.65,0.44,10.27,0.0,0.0,111.0,349.0,82.71
1.95,0.24,10.16,0.0,0.0,71.0,330.0,82.71
1.82,0.51,9.99,0.0,0.0,56.0,312.0,82.71
1.75,0.38,10.13,0.0,0.0,24.0,377.0,82.71
1.79,0.6,9.72,0.0,0.0,18.0,353.0,82.71
1.86,1.04,10.94,0.0,0.0,13.0,338.0,82.71
2.04,0.17,9.95,0.0,0.0,5.0,342.0,82.71
2.09,0.26,10.0,0.0,0.0,4.0,315.0,82.71
1.8,0.45,10.02,0.0,0.0,3.0,348.0,82.71
1.65,0.39,10.28,0.0,0.0,1.0,321.0,82.71
1.6,0.47,10.38,0.0,0.0,1.0,330.0,82.71
1.81,-0.09,10.0,0.0,0.0,0.0,345.0,82.71
1.93,0.05,9.81,0.0,0.0,0.0,334.0,82.9
1.97,0.11,9.51,0.0,0.0,0.0,350.0,82.71
1.99,0.1,9.81,0.0,0.0,0.0,336.0,82.9
1.93,0.03,10.01,0.0,0.0,0.0,330.0,82.9
1.76,0.18,10.13,0.0,0.0,0.0,341.0,82.9
1.78,0.15,10.19,0.0,0.0,0.0,333.0,82.9
1.8,0.09,9.86,0.0,0.0,0.0,379.0,82.9
1.72,0.04,9.93,0.0,0.0,0.0,329.0,82.9
1.77,-0.05,10.13,0.0,0.0,0.0,349.0,82.9
1.78,0.12,9.98,0.0,0.0,0.0,342.0,82.9
1.8,0.14,9.96,0.0,0.0,0.0,335.0,82.9
1.92,0.11,10.1,0.0,0.0,0.0,362.0,82.9
